RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
All_DistOil,2020,0,0
All_DistOil,2030,0,0
All_NG,2020,0,6.1728e+05
All_NG,2020,1,0
All_NG,2030,0,0
All_NG,2030,1,6.7161e+05
Central_Coal,2020,0,1.409e+05
Central_Coal,2030,0,0
Central_ResidualFuelOil,2020,0,0
Central_ResidualFuelOil,2030,0,0
Central_Uranium,2020,0,0
Central_Uranium,2030,0,0
North_Bio,2020,0,0
North_Bio,2020,1,0
North_Bio,2030,0,0
North_Bio,2030,1,0
North_Coal,2020,0,1.3349e+05
North_Coal,2030,0,1.3349e+05
North_ResidualFuelOil,2020,0,0
North_ResidualFuelOil,2030,0,0
North_Uranium,2020,0,0
North_Uranium,2030,0,0
South_Bio,2020,0,0
South_Bio,2020,1,0
South_Bio,2030,0,0
South_Bio,2030,1,0
South_ResidualFuelOil,2020,0,0
South_ResidualFuelOil,2030,0,0
South_Uranium,2020,0,0
South_Uranium,2030,0,0
