TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.77005
Central,North,2,0
Central,North,3,0.22007
Central,North,4,0
Central,North,5,0
Central,North,6,0
Central,North,7,0.62314
Central,South,1,3.649
Central,South,2,4.7724
Central,South,3,4.2107
Central,South,4,4.997
Central,South,5,5.8957
Central,South,6,8.1425
Central,South,7,10.062
North,Central,1,0
North,Central,2,0
North,Central,3,0
North,Central,4,0
North,Central,5,0
North,Central,6,0.084783
North,Central,7,0
South,Central,1,0
South,Central,2,0
South,Central,3,0
South,Central,4,0
South,Central,5,0
South,Central,6,0
South,Central,7,0
