GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
C-Biomass_IGCC,1,BioSolid,0
C-Biomass_IGCC,2,BioSolid,0
C-Biomass_IGCC,3,BioSolid,0
C-Biomass_IGCC,4,BioSolid,0
C-Biomass_IGCC,5,BioSolid,0
C-Biomass_IGCC,6,BioSolid,0
C-Biomass_IGCC,7,BioSolid,0
C-Coal_IGCC,1,Coal,0
C-Coal_IGCC,2,Coal,0
C-Coal_IGCC,3,Coal,0
C-Coal_IGCC,4,Coal,0
C-Coal_IGCC,5,Coal,0
C-Coal_IGCC,6,Coal,0
C-Coal_IGCC,7,Coal,0
C-Coal_ST,1,Coal,16.074
C-Coal_ST,2,Coal,16.074
C-Coal_ST,3,Coal,16.074
C-Coal_ST,4,Coal,16.074
C-Coal_ST,5,Coal,16.074
C-Coal_ST,6,Coal,16.074
C-NG_CC,1,NaturalGas,44.482
C-NG_CC,2,NaturalGas,41.895
C-NG_CC,3,NaturalGas,43.852
C-NG_CC,4,NaturalGas,45.525
C-NG_CC,5,NaturalGas,49.427
C-NG_CC,6,NaturalGas,58.42
C-NG_CC,7,NaturalGas,65.694
C-NG_GT,1,NaturalGas,0
C-NG_GT,2,NaturalGas,0
C-NG_GT,3,NaturalGas,0
C-NG_GT,4,NaturalGas,0
C-NG_GT,5,NaturalGas,0
C-NG_GT,6,NaturalGas,19.533
C-NG_GT,7,NaturalGas,0
C-Nuclear,7,Uranium,0
N-Biomass_IGCC,1,BioSolid,0
N-Biomass_IGCC,2,BioSolid,0
N-Biomass_IGCC,3,BioSolid,0
N-Biomass_IGCC,4,BioSolid,0
N-Biomass_IGCC,5,BioSolid,0
N-Biomass_IGCC,6,BioSolid,0
N-Biomass_IGCC,7,BioSolid,0
N-Biomass_IGCC_CCS,7,BioSolid,0
N-Coal_IGCC,1,Coal,0
N-Coal_IGCC,2,Coal,0
N-Coal_IGCC,3,Coal,0
N-Coal_IGCC,4,Coal,0
N-Coal_IGCC,5,Coal,0
N-Coal_IGCC,6,Coal,0
N-Coal_IGCC,7,Coal,0
N-Coal_IGCC_CCS,7,Coal,0
N-Coal_ST,1,Coal,15.228
N-Coal_ST,2,Coal,15.228
N-Coal_ST,3,Coal,15.228
N-Coal_ST,4,Coal,15.228
N-Coal_ST,5,Coal,15.228
N-Coal_ST,6,Coal,15.228
N-Coal_ST,7,Coal,15.228
N-NG_CC,1,NaturalGas,12.605
N-NG_CC,2,NaturalGas,10.482
N-NG_CC,3,NaturalGas,12.605
N-NG_CC,4,NaturalGas,11.898
N-NG_CC,5,NaturalGas,10.482
N-NG_CC,6,NaturalGas,12.605
N-NG_CC,7,NaturalGas,0
N-NG_CC_CCS,7,NaturalGas,0
N-NG_GT,1,NaturalGas,0
N-NG_GT,2,NaturalGas,0
N-NG_GT,3,NaturalGas,0
N-NG_GT,4,NaturalGas,0
N-NG_GT,5,NaturalGas,0
N-NG_GT,6,NaturalGas,19.533
N-NG_GT,7,NaturalGas,0
N-Nuclear,7,Uranium,0
S-Biomass_IGCC,1,BioSolid,0
S-Biomass_IGCC,2,BioSolid,0
S-Biomass_IGCC,3,BioSolid,0
S-Biomass_IGCC,4,BioSolid,0
S-Biomass_IGCC,5,BioSolid,0
S-Biomass_IGCC,6,BioSolid,0
S-Biomass_IGCC,7,BioSolid,0
S-Biomass_IGCC_CCS,7,BioSolid,0
S-NG_CC,1,NaturalGas,0
S-NG_CC,2,NaturalGas,0
S-NG_CC,3,NaturalGas,0
S-NG_CC,4,NaturalGas,0
S-NG_CC,5,NaturalGas,0
S-NG_CC,6,NaturalGas,0
S-NG_CC,7,NaturalGas,10.922
S-NG_CC_CCS,7,NaturalGas,0
S-NG_GT,1,NaturalGas,0
S-NG_GT,2,NaturalGas,0
S-NG_GT,3,NaturalGas,0
S-NG_GT,4,NaturalGas,0
S-NG_GT,5,NaturalGas,0
S-NG_GT,6,NaturalGas,0
S-NG_GT,7,NaturalGas,0
