load_zone_from,load_zone_to,timestamp,transmission_dispatch,dispatch_limit,transmission_limit_dual
Central,North,2025011500,0.77005,2.976,.
Central,North,2025011512,0,2.976,.
Central,North,2025011600,0.22007,2.976,.
Central,North,2025011612,0,2.976,.
Central,North,2025061500,0,2.976,.
Central,North,2025061512,0,2.976,.
Central,North,2035011512,0.62314,2.976,.
Central,South,2025011500,3.649,8.1425,.
Central,South,2025011512,4.7724,8.1425,.
Central,South,2025011600,4.2107,8.1425,.
Central,South,2025011612,4.997,8.1425,.
Central,South,2025061500,5.8957,8.1425,.
Central,South,2025061512,8.1425,8.1425,.
Central,South,2035011512,10.062,10.062,.
North,Central,2025011500,0,2.976,.
North,Central,2025011512,0,2.976,.
North,Central,2025011600,0,2.976,.
North,Central,2025011612,0,2.976,.
North,Central,2025061500,0,2.976,.
North,Central,2025061512,0.084783,2.976,.
North,Central,2035011512,0,2.976,.
South,Central,2025011500,0,8.1425,.
South,Central,2025011512,0,8.1425,.
South,Central,2025011600,0,8.1425,.
South,Central,2025011612,0,8.1425,.
South,Central,2025061500,0,8.1425,.
South,Central,2025061512,0,8.1425,.
South,Central,2035011512,0,10.062,.
